Experiment: Apr28_cal_tst_expt vial 9, Thu Apr 28 17:02:30 2022
9.5025,34688
9.5079,34688
9.5135,34623
9.5191,34738
9.5247,34792
9.5301,34626
9.5357,34677
9.5413,34633
9.547,34773
9.5523,34622
9.5579,34607
9.5636,34770
9.5689,34622
9.5745,34720
9.5802,34721
9.5858,34593
9.5911,34745
9.5967,34598
9.6024,34701
9.608,34661
9.6136,34697
9.619,34700
9.6246,34617
9.6302,34704
9.6356,34804
9.6412,34615
9.6468,34490
9.6524,34614
9.6581,34613
9.6634,34641
9.6691,34632
9.6747,34552
9.68,34609
9.6857,34610
9.6913,34702
9.6969,34568
9.7023,34493
9.7079,34521
9.7135,34695
9.7191,34671
9.7245,34712
