Experiment: Apr29_NP_tst_expt vial 5, Fri Apr 29 15:50:36 2022
9.707,55094
9.7126,55088
9.7182,55098
9.7236,55095
9.7292,55094
9.7348,55084
9.7404,55086
9.7458,55088
9.7514,55102
9.757,55098
9.7626,55093
9.7682,55099
9.7736,55096
9.7792,55098
9.7849,55096
9.7902,55101
9.7959,55102
9.8015,55095
9.8071,55099
9.8125,55100
9.8181,55095
9.8237,55064
9.8293,55104
9.8347,55103
9.8403,55094
9.8459,55073
9.8516,55085
9.8569,55012
9.8626,55089
9.8682,55093
9.8736,55099
9.8792,55096
9.8848,55099
9.8904,55099
9.8958,55090
9.9014,55103
9.907,55100
9.9127,55094
9.918,55090
9.9236,55094
9.9292,55099
9.9349,55098
9.9402,55096
9.9458,55098
9.9515,55103
9.9571,55072
9.9624,55094
9.968,55101
9.9737,55095
9.9793,55099
9.9849,55108
9.9902,55098
9.9959,55068
10.0015,55098
10.0071,55095
10.0125,55100
10.0181,55100
10.0237,55084
10.0291,55076
10.0347,55107
10.0403,55096
10.0459,55083
10.0516,55092
10.0569,55080
10.0625,55097
10.0682,55099
10.0738,55094
10.0791,55100
10.0848,55086
10.0904,55093
10.096,55098
10.1013,55090
10.107,55086
10.1126,55096
10.1182,55104
10.1235,55095
10.1292,55096
10.1348,55092
10.1404,55094
10.1458,55061
10.1514,55098
10.157,55090
10.1627,55085
10.168,55094
10.1736,55088
10.1793,55095
10.1849,55086
10.1902,55086
10.1959,55018
10.2015,55101
10.2071,55098
10.2124,55065
10.2181,55104
10.2237,55081
10.2293,55096
10.2346,55093
10.2403,55098
10.2459,55103
10.2515,55103
10.2569,55094
10.2625,55089
10.2681,55098
10.2737,55075
10.2793,55101
10.2847,55093
10.2903,55093
10.2957,55082
10.3014,55097
10.307,55093
10.3126,55080
10.3182,55095
10.3236,55102
10.3292,55093
10.3348,55093
10.3404,55103
10.3458,55103
10.3514,55107
10.357,55092
10.3626,55106
10.368,55108
10.3736,55102
10.3792,55096
10.3848,55104
10.3905,55078
10.3958,55105
10.4014,55100
10.407,55087
10.4124,55098
10.418,55099
10.4236,55092
10.4293,55092
10.4348,55099
10.4402,55090
10.4458,55094
10.4514,55093
10.4571,55076
10.4624,55083
10.468,55086
10.4736,55098
10.4793,55087
10.4847,55099
10.4903,55089
10.4959,55081
10.5016,55101
