Experiment: July_9_negative_cntrl_expt vial 4, Fri Jul  9 17:30:40 2021
6.1528,32670
6.1581,32672
6.1637,32667
6.1694,32669
6.175,32668
6.1804,32671
6.186,32672
6.1914,32668
6.1971,32668
6.2027,32669
6.2081,32670
6.2137,32670
6.2194,32664
6.225,32666
6.2304,32665
6.236,32667
6.2414,32667
6.247,32668
6.2527,32670
6.2583,32667
6.2637,32666
6.2693,32667
6.275,32666
6.2803,32665
6.286,32668
6.2916,32668
6.2972,32669
6.3026,32667
6.3083,32668
6.3139,32672
6.3192,32667
6.3249,32665
6.3305,32664
6.3359,32667
6.3415,32666
6.3472,32666
6.3526,32668
6.3582,32667
6.3639,32663
6.3692,32668
6.3749,32669
6.3805,32669
6.3859,32669
6.3915,32667
6.3972,32668
6.4028,32664
6.4081,32665
6.4138,32663
6.4194,32667
6.4248,32668
6.4304,32669
6.4361,32670
6.4417,32668
6.4471,32666
6.4527,32665
6.4581,32664
6.4638,32665
6.4694,32669
6.475,32666
6.4804,32668
6.486,32668
6.4917,32670
6.497,32666
6.5027,32666
6.5083,32669
6.5137,32669
6.5193,32670
6.525,32669
6.5303,32669
6.536,32668
6.5416,32667
6.5472,32667
6.5526,32668
6.5583,32665
6.5639,32666
6.5693,32669
6.5749,32669
6.5806,32669
6.586,32668
6.5916,32667
6.5972,32668
6.6026,32669
6.6083,32667
6.6139,32669
6.6193,32664
6.6249,32665
6.6306,32669
6.6359,32669
6.6416,32670
6.6472,32666
6.6526,32664
6.6582,32666
6.6638,32664
6.6695,32664
6.6748,32667
6.6805,32667
6.6861,32671
6.6915,32665
6.6971,32669
6.7028,32669
6.7081,32666
6.7138,32668
6.7194,32665
6.725,32668
6.7304,32670
6.736,32669
6.7417,32670
6.747,32669
6.7527,32666
6.7583,32668
6.7637,32670
6.7694,32670
6.775,32667
6.7804,32666
6.786,32670
6.7917,32667
6.797,32665
6.8027,32665
6.8083,32664
6.814,32667
6.8193,32666
6.825,32670
6.8304,32667
6.836,32669
6.8417,32667
6.847,32667
6.8527,32666
6.8583,32670
6.8637,32667
6.8693,32666
6.875,32669
6.8803,32668
6.886,32668
6.8916,32664
6.8973,32665
6.9026,32667
6.9083,32666
6.9139,32664
6.9193,32664
6.9249,32668
6.9306,32668
6.9359,32670
6.9416,32664
6.9473,32665
6.9526,32665
6.9583,32666
6.9639,32668
6.9693,32664
6.9749,32665
6.9806,32671
6.9859,32664
6.9916,32668
6.9972,32664
7.0029,32666
7.0082,32668
7.0139,32668
7.0192,32667
7.0249,32664
7.0305,32666
7.0362,32671
7.0415,32671
7.0472,32670
7.0528,32668
7.0582,32667
7.0638,32665
7.0694,32667
7.0748,32671
7.0805,32668
7.0861,32667
7.0915,32667
7.0971,32670
7.1028,32669
7.1081,32669
7.1138,32672
7.1194,32668
7.1251,32670
7.1304,32666
7.1361,32672
7.1417,32667
7.1471,32669
7.1527,32670
7.1584,32668
7.1637,32668
7.1694,32668
7.175,32665
7.1804,32670
7.186,32670
7.1916,32670
7.1973,32669
7.2026,32667
7.2083,32669
7.2139,32664
7.2193,32666
7.2249,32667
7.2306,32666
7.2359,32669
7.2416,32669
7.2472,32666
7.2526,32667
7.2582,32669
7.2639,32669
7.2695,32669
7.2749,32668
7.2805,32668
7.2862,32668
7.2916,32670
7.2972,32669
7.3029,32669
7.3082,32668
7.3139,32667
7.3193,32665
7.3249,32664
7.3306,32661
7.3359,32666
7.3416,32667
7.3472,32666
7.3528,32666
7.3582,32664
7.3638,32666
7.3695,32664
7.3748,32669
7.3805,32666
7.3861,32668
7.3915,32666
7.3971,32669
7.4028,32666
7.4084,32668
7.4138,32668
7.4194,32669
7.425,32664
7.4304,32662
7.436,32667
7.4417,32669
7.4471,32668
7.4527,32671
7.4581,32667
7.4638,32667
7.4694,32665
7.4748,32672
7.4804,32667
7.486,32667
7.4916,32667
7.4972,32669
7.5026,32669
7.5082,32669
7.5138,32667
7.5194,32661
7.5248,32668
7.5304,32667
7.5361,32666
7.5416,32667
7.5472,32665
7.5526,32663
7.5582,32662
7.5639,32661
7.5694,32667
7.575,32667
7.5804,32661
7.586,32665
7.5917,32668
7.5971,32666
7.6027,32665
7.6083,32670
7.6137,32667
7.6194,32666
7.625,32667
7.6306,32666
7.636,32668
7.6417,32667
7.647,32671
7.6527,32670
7.6583,32668
7.6637,32667
7.6694,32667
7.675,32666
7.6804,32665
7.686,32669
7.6916,32666
7.6973,32671
7.7027,32670
7.7083,32668
7.7139,32671
7.7193,32665
7.7249,32668
7.7306,32668
7.736,32666
7.7416,32668
7.7473,32671
7.7526,32669
7.7583,32673
7.7639,32671
7.7693,32667
7.7749,32667
7.7806,32672
7.7862,32668
7.7916,32666
7.7972,32670
7.8026,32669
7.8082,32670
7.8139,32670
7.8195,32669
7.8249,32667
7.8305,32668
7.8359,32668
7.8416,32669
7.8472,32668
7.8528,32667
7.8582,32667
7.8638,32670
7.8695,32670
7.8748,32671
7.8805,32668
7.8862,32666
7.8915,32670
7.8972,32668
7.9028,32663
7.9082,32670
7.9138,32670
7.9195,32667
7.9248,32666
7.9305,32670
7.9361,32669
7.9417,32669
7.9471,32671
7.9528,32667
7.9584,32669
7.9638,32669
7.9694,32666
7.9751,32669
7.9804,32673
7.9861,32671
7.9917,32667
7.9971,32669
8.0028,32667
8.0084,32667
8.0138,32669
8.0194,32668
8.0251,32669
8.0304,32668
8.0361,32668
8.0417,32667
8.0471,32668
8.0527,32668
8.0583,32669
8.064,32668
8.0693,32667
8.075,32667
8.0806,32666
8.086,32670
8.0916,32667
8.0972,32669
8.1026,32671
8.1082,32671
8.1139,32673
8.1195,32669
8.1249,32668
8.1305,32669
8.1361,32671
8.1415,32670
8.1471,32667
8.1528,32672
8.1584,32668
8.1638,32665
8.1694,32666
8.175,32666
8.1804,32665
8.186,32664
8.1917,32669
8.1973,32667
8.2027,32669
8.2083,32669
8.2139,32666
8.2193,32667
8.225,32670
8.2306,32666
8.236,32668
8.2416,32662
8.2472,32667
8.2526,32669
8.2582,32669
8.2639,32667
8.2695,32666
8.2749,32665
8.2805,32663
8.2862,32666
8.2915,32666
8.2971,32666
8.3028,32667
8.3084,32669
8.3138,32662
8.3194,32667
8.325,32667
8.3304,32667
8.336,32665
8.3417,32665
8.347,32665
8.3527,32666
8.3583,32666
8.3638,32667
8.3694,32667
8.375,32670
8.3804,32666
8.386,32667
8.3917,32664
8.397,32668
8.4027,32670
8.4083,32666
8.414,32669
8.4193,32666
8.425,32669
8.4306,32667
8.4359,32666
8.4416,32674
8.4472,32669
8.4526,32668
8.4582,32670
8.4639,32668
8.4693,32670
8.4749,32666
8.4805,32669
8.4862,32669
8.4915,32668
8.4972,32667
8.5028,32669
8.5082,32668
8.5138,32669
8.5195,32668
8.5248,32668
8.5305,32668
8.5361,32665
8.5418,32665
8.5471,32668
8.5527,32665
8.5584,32665
8.5637,32668
8.5694,32672
8.575,32668
8.5807,32663
8.586,32666
8.5917,32663
8.597,32669
8.6027,32668
8.6083,32670
8.6139,32669
8.6193,32668
8.6249,32667
8.6306,32668
8.6359,32669
8.6416,32669
8.6472,32668
8.6529,32666
8.6582,32667
8.6638,32669
8.6695,32673
8.6748,32669
8.6805,32667
8.6861,32666
8.6918,32666
8.6971,32667
8.7027,32667
8.7084,32666
8.7138,32666
8.7194,32668
8.725,32668
8.7304,32667
8.736,32666
8.7417,32668
8.7473,32668
8.7527,32667
8.7583,32663
8.7639,32668
8.7693,32665
8.775,32669
8.7806,32665
8.7862,32666
8.7916,32666
8.7972,32668
8.8026,32668
8.8082,32668
8.8139,32665
8.8195,32669
8.8249,32667
8.8305,32665
8.8362,32667
8.8415,32666
8.8472,32669
8.8528,32667
8.8585,32668
8.8638,32667
8.8695,32670
8.8748,32668
8.8805,32671
8.8861,32668
8.8918,32665
8.8971,32666
8.9028,32666
8.9084,32668
8.9138,32667
8.9195,32670
8.9248,32667
8.9305,32662
8.9361,32668
8.9418,32668
8.9471,32669
8.9527,32669
8.9584,32666
8.9637,32669
8.9694,32669
8.975,32664
8.9807,32668
8.986,32669
8.9917,32670
8.9973,32667
9.0027,32669
9.0082,32670
9.0139,32663
9.0195,32667
9.0249,32670
9.0305,32665
9.036,32663
9.0417,32669
9.0473,32663
9.0527,32663
9.0583,32661
9.0638,32662
9.0695,32666
9.0751,32665
9.0805,32669
9.0861,32666
9.0916,32664
9.0973,32667
9.1027,32668
9.1083,32669
9.114,32667
9.1194,32663
9.125,32668
9.1307,32666
9.136,32662
9.1417,32664
9.1472,32664
9.1529,32665
9.1582,32666
9.1639,32663
9.1695,32664
9.1749,32666
9.1805,32664
9.1862,32664
9.1916,32663
9.1972,32666
9.2029,32667
9.2082,32668
9.2138,32671
9.2195,32666
9.2249,32666
9.2305,32668
9.2362,32668
9.2418,32666
9.2472,32668
9.2528,32666
9.2582,32667
9.2638,32664
9.2695,32668
9.2751,32664
9.2804,32665
9.2861,32664
9.2917,32664
9.2971,32666
9.3027,32666
9.3084,32666
9.314,32666
9.3194,32668
9.325,32663
9.3306,32664
9.336,32666
9.3417,32668
9.3473,32667
9.3527,32670
9.3583,32664
9.3639,32668
9.3693,32667
9.3749,32666
9.3806,32664
9.3862,32672
9.3916,32669
9.3972,32669
9.4028,32671
9.4082,32669
9.4138,32667
9.4195,32665
9.4251,32670
9.4305,32670
9.4362,32667
9.4415,32665
9.4472,32668
9.4528,32670
9.4585,32669
9.4638,32666
9.4695,32671
9.4751,32669
9.4805,32667
9.4861,32664
9.4918,32670
9.4971,32669
9.5028,32666
9.5084,32669
9.5138,32668
9.5194,32670
9.5251,32668
9.5307,32667
9.5361,32668
9.5417,32667
9.5473,32667
9.5527,32668
9.5583,32667
9.564,32667
9.5696,32667
9.5749,32669
9.5806,32670
9.5862,32669
9.5916,32669
