Experiment: Feb_25_Turb_expt vial 12, Thu Feb 25 15:27:00 2021
6.5454,56525
6.5511,56513
6.5567,56507
6.562,56513
6.5676,56507
6.5733,56507
6.5789,56517
6.5842,56511
6.5899,56506
6.5955,56500
6.6011,56500
6.6065,56503
6.6121,56506
6.6177,56514
6.6231,56514
6.6287,56504
6.6343,56508
6.64,56510
6.6453,56504
6.6509,56511
6.6566,56521
6.6622,56524
6.6676,56525
6.6732,56524
6.6788,56517
6.6844,56523
6.6898,56524
6.6954,56519
6.701,56508
6.7066,56505
6.712,56514
6.7176,56512
6.7233,56510
6.7286,56510
6.7342,56509
6.7399,56502
6.7455,56510
6.7508,56513
6.7565,56512
6.7621,56517
6.7677,56524
6.7731,56516
6.7787,56513
6.7844,56518
6.79,56518
6.7953,56527
6.801,56524
6.8066,56526
6.812,56524
6.8176,56513
6.8232,56528
6.8288,56542
6.8342,56536
6.8398,56536
6.8455,56532
6.8511,56542
6.8565,56534
6.8621,56542
6.8677,56552
6.8731,56556
6.8787,56561
6.8843,56564
6.8899,56556
6.8953,56564
6.9009,56565
6.9065,56571
6.9122,56574
6.9178,56575
6.9232,56570
6.9288,56576
6.9344,56579
6.9398,56584
6.9454,56580
6.951,56574
6.9567,56583
6.962,56578
6.9676,56585
6.9733,56584
6.9786,56582
6.9842,56586
6.9899,56585
6.9955,56574
7.0011,56563
7.0065,56554
7.0122,56547
7.0175,56546
7.0232,56544
7.0288,56545
7.0344,56549
7.0398,56550
7.0454,56545
7.0511,56539
7.0567,56535
7.062,56538
7.0677,56536
7.0733,56530
7.0787,56523
7.0843,56529
7.0899,56530
7.0956,56529
7.1009,56537
7.1066,56535
7.1122,56533
7.1176,56539
7.1232,56542
7.1288,56532
7.1345,56541
7.1398,56538
7.1454,56536
7.1511,56540
7.1567,56540
7.162,56540
7.1677,56539
7.1733,56530
7.1789,56533
7.1843,56538
7.1899,56539
7.1955,56538
7.2011,56542
7.2065,56534
7.2121,56532
7.2178,56545
7.2231,56539
7.2288,56535
7.2344,56538
7.24,56542
7.2453,56539
7.251,56542
7.2566,56532
7.262,56529
7.2676,56533
7.2732,56531
7.2789,56530
7.2842,56531
7.2899,56532
7.2955,56533
7.3011,56535
7.3065,56543
7.3121,56546
7.3178,56532
7.3231,56536
7.3288,56544
7.3344,56534
7.3397,56541
7.3453,56533
7.351,56533
7.3566,56533
7.3622,56534
7.3676,56536
7.3732,56540
7.3788,56534
7.3845,56537
7.3898,56535
7.3955,56533
7.4011,56540
7.4065,56528
7.4121,56529
7.4177,56539
7.4233,56529
7.4287,56530
7.4343,56529
7.4399,56526
7.4455,56536
7.4509,56528
7.4565,56527
7.4622,56524
7.4678,56527
7.4731,56530
7.4788,56524
7.4844,56533
7.49,56532
7.4954,56524
7.501,56516
7.5066,56517
7.512,56517
7.5176,56522
7.5233,56533
7.5289,56522
7.5342,56518
7.5399,56517
7.5455,56514
7.5511,56513
7.5565,56517
7.5621,56520
7.5678,56524
7.5731,56527
7.5788,56534
7.5844,56541
7.59,56533
7.5954,56539
7.601,56537
7.6066,56544
7.6123,56545
7.6176,56548
7.6232,56542
7.6289,56543
7.6342,56542
7.6399,56545
7.6455,56544
7.6509,56549
7.6565,56543
7.6622,56539
7.6678,56543
7.6731,56550
7.6788,56547
7.6844,56544
7.69,56542
7.6954,56546
7.701,56542
7.7066,56533
7.712,56542
7.7176,56541
7.7233,56540
7.7289,56545
7.7343,56539
7.7399,56543
7.7455,56543
7.7509,56542
7.7565,56551
7.7621,56545
7.7678,56542
7.7731,56549
7.7787,56543
7.7844,56547
7.79,56548
7.7953,56549
7.8009,56549
7.8065,56550
7.8121,56547
7.8178,56549
7.8231,56539
7.8287,56541
7.8343,56543
7.8399,56539
7.8456,56543
7.8509,56544
7.8565,56536
7.8621,56534
7.8676,56546
7.8732,56548
7.8788,56542
7.8842,56537
7.8899,56537
7.8955,56537
7.9009,56541
7.9065,56541
7.9121,56540
7.9178,56541
7.9234,56532
7.9287,56537
7.9344,56539
7.9399,56532
7.9456,56535
7.9509,56532
7.9566,56530
7.9622,56538
7.9677,56531
7.9731,56530
7.9787,56534
7.9843,56527
7.99,56534
7.9953,56526
8.001,56519
8.0066,56520
8.012,56526
8.0176,56530
