Experiment: April_28_Phage_Osmo_expt vial 6, Wed Apr 28 17:10:55 2021
4.7804,28326
4.786,28331
4.7913,28323
4.797,28329
4.8024,28328
4.808,28335
4.8137,28323
4.8193,28333
4.8246,28336
4.8303,28336
4.8359,28318
4.8413,28332
4.8469,28331
4.8526,28336
4.8582,28334
4.8636,28338
4.8693,28333
4.8746,28335
4.8803,28335
4.8859,28334
4.8912,28339
4.8969,28329
4.9025,28332
4.9081,28332
4.9135,28335
4.9191,28338
4.9248,28331
4.9304,28335
4.9358,28339
4.9414,28335
4.947,28349
4.9524,28348
4.958,28343
4.9637,28346
4.9693,28342
4.9747,28340
4.9803,28346
4.9859,28327
4.9913,28307
4.9969,28321
5.0026,28322
5.008,28321
5.0137,28309
5.0191,28301
5.0247,28305
5.0304,28301
5.0358,28312
5.0415,28310
5.0469,28305
5.0526,28306
5.0581,28311
5.0635,28307
5.0692,28313
5.0746,28308
5.0803,28312
5.0857,28320
5.0914,28329
5.0969,28322
5.1026,28338
5.108,28339
5.1136,28350
5.1192,28346
5.1247,28350
5.1303,28359
5.1357,28375
5.1414,28370
5.1471,28368
5.1525,28374
5.1581,28372
5.1635,28365
5.1692,28372
5.1748,28367
5.1802,28356
5.1858,28340
5.1915,28324
5.1969,28321
5.2026,28322
5.208,28322
5.2136,28320
5.219,28307
5.2247,28316
5.2304,28318
5.2358,28300
5.2414,28308
5.247,28322
5.2524,28318
5.258,28313
5.2637,28309
5.2693,28290
5.2747,28296
5.2803,28302
5.286,28312
5.2913,28313
5.297,28310
5.3026,28314
5.3079,28290
5.3136,28300
5.3192,28303
5.3249,28293
5.3302,28302
5.3358,28305
5.3415,28307
5.3468,28299
5.3525,28307
5.3581,28314
5.3638,28294
5.3691,28300
5.3748,28305
5.3804,28314
5.3857,28314
5.3914,28302
5.397,28288
5.4024,28298
5.408,28298
5.4137,28296
5.4193,28305
5.4246,28304
5.4303,28301
5.4359,28302
5.4413,28306
5.4469,28300
5.4526,28307
5.4582,28299
5.4636,28304
5.4692,28311
5.4749,28298
5.4801,28311
5.4858,28314
5.4914,28315
5.497,28316
5.5024,28292
5.508,28299
5.5136,28302
5.5192,28291
5.5246,28289
5.5302,28287
5.5358,28292
5.5414,28303
5.547,28304
5.5524,28306
5.558,28302
5.5636,28298
5.5692,28305
5.5746,28296
5.5802,28288
5.5858,28290
5.5914,28296
5.597,28301
5.6024,28305
5.6081,28299
5.6137,28292
5.6192,28293
5.6248,28287
5.6302,28295
5.6358,28286
5.6414,28284
5.647,28295
5.6526,28297
5.658,28294
5.6636,28294
5.6692,28293
5.6746,28287
5.6802,28285
5.6859,28287
5.6915,28297
5.6968,28284
5.7025,28298
5.7081,28302
5.7137,28294
5.7191,28294
5.7247,28282
5.7304,28288
5.7357,28281
5.7414,28278
5.7468,28280
5.7525,28292
5.7579,28283
5.7636,28281
5.7692,28300
5.7748,28290
5.7802,28294
5.7858,28298
5.7915,28299
5.7968,28295
5.8025,28303
5.8081,28291
5.8137,28308
5.8191,28304
5.8247,28305
5.8304,28291
5.8357,28287
5.8414,28304
5.847,28302
5.8524,28299
5.858,28298
5.8637,28294
5.8693,28296
5.8747,28285
5.8803,28291
5.8859,28285
5.8913,28289
5.8969,28293
5.9025,28293
5.9082,28290
5.9135,28297
5.9192,28298
5.9248,28306
5.9304,28304
5.9358,28309
5.9414,28307
5.9468,28308
5.9524,28296
5.9581,28295
5.9637,28303
5.9691,28307
5.9747,28307
5.9804,28307
5.9857,28298
5.9913,28307
5.997,28300
6.0024,28290
6.008,28303
6.0137,28304
6.0193,28297
6.0246,28303
6.0303,28292
6.0359,28311
6.0415,28300
6.0469,28307
6.0526,28314
6.0582,28315
6.0635,28316
6.0692,28319
6.0748,28312
6.0802,28316
6.0858,28308
6.0915,28316
6.0971,28307
6.1024,28312
6.1081,28308
6.1137,28316
6.1191,28311
6.1247,28311
6.1304,28319
6.1357,28324
6.1414,28306
6.1469,28301
6.1526,28310
6.1582,28307
6.1635,28312
6.1692,28308
6.1748,28308
6.1802,28309
6.1858,28301
6.1914,28312
6.197,28309
6.2024,28323
6.208,28313
6.2137,28322
6.2193,28319
6.2246,28315
6.2302,28316
6.2359,28313
6.2415,28309
6.2469,28311
6.2525,28322
6.2581,28306
6.2635,28309
6.2691,28308
6.2748,28308
6.2804,28315
6.2858,28327
6.2914,28340
6.2971,28324
6.3024,28318
6.308,28322
6.3137,28329
6.3193,28328
6.3247,28324
6.3303,28318
6.3359,28314
6.3413,28323
6.3469,28325
6.3526,28312
6.358,28312
6.3636,28318
6.3693,28318
6.3746,28315
6.3803,28325
6.3859,28312
6.3913,28300
6.3969,28309
6.4025,28308
6.4082,28312
6.4138,28323
6.4191,28315
6.4248,28316
6.4304,28322
6.4357,28322
6.4414,28329
6.447,28317
6.4524,28312
6.458,28305
6.4636,28306
6.4693,28313
6.4746,28310
6.4803,28306
6.4859,28314
6.4915,28314
6.4969,28323
6.5025,28307
6.5081,28302
6.5135,28320
6.5191,28326
6.5248,28316
6.5304,28328
6.5358,28325
6.5414,28312
6.547,28306
6.5524,28315
6.558,28328
6.5637,28319
6.5693,28317
6.5747,28306
6.5803,28313
6.5859,28305
6.5913,28312
6.5969,28315
6.6026,28316
6.608,28321
6.6136,28298
6.6193,28300
6.6246,28301
6.6302,28307
6.6359,28302
6.6415,28306
6.6469,28307
6.6525,28307
6.6581,28315
6.6638,28294
6.6691,28300
6.6748,28316
6.6804,28314
6.6857,28315
6.6914,28313
6.697,28314
6.7026,28315
6.708,28304
6.7136,28296
6.7192,28304
6.7249,28304
6.7302,28312
6.7359,28306
6.7415,28305
6.7468,28303
6.7525,28306
6.7581,28317
6.7637,28306
6.7691,28316
6.7747,28328
6.7803,28327
6.786,28317
6.7913,28327
6.797,28324
6.8026,28328
6.808,28328
6.8136,28327
6.8192,28330
6.8246,28337
6.8303,28326
6.8359,28338
6.8415,28323
6.8469,28324
6.8526,28324
6.8582,28328
6.8636,28317
6.8692,28325
6.8749,28325
6.8802,28320
6.8859,28313
6.8915,28326
6.8969,28317
6.9025,28316
6.908,28321
6.9136,28314
6.9192,28318
6.9249,28319
6.9302,28320
6.9358,28326
6.9415,28323
6.9471,28315
6.9524,28311
6.9581,28317
6.9637,28326
6.9691,28312
6.9747,28320
6.9803,28319
6.986,28305
6.9913,28312
6.9969,28323
7.0026,28317
7.0082,28312
7.0135,28319
7.0192,28319
7.0248,28314
7.0302,28326
7.0358,28319
7.0414,28320
7.0471,28320
7.0524,28309
7.058,28306
7.0636,28313
7.0693,28314
7.0746,28316
7.0803,28310
7.0858,28311
7.0915,28311
7.0971,28316
7.1025,28311
7.1081,28315
7.1135,28309
7.1192,28309
7.1248,28301
7.1304,28293
7.1358,28297
7.1414,28305
7.1468,28303
7.1524,28305
7.1581,28314
7.1637,28307
7.1691,28305
7.1748,28315
7.1804,28324
7.1858,28338
7.1914,28324
7.1968,28327
7.2024,28323
7.2081,28327
7.2137,28318
7.2191,28317
7.2247,28325
7.2303,28320
7.2357,28315
7.2414,28323
7.2468,28320
7.2525,28325
7.2582,28326
7.2635,28329
7.2691,28310
7.2748,28320
7.2802,28313
7.2858,28315
7.2914,28316
7.2969,28316
7.3025,28311
7.3081,28320
7.3135,28318
7.3192,28328
7.3248,28333
7.3302,28323
7.3358,28330
7.3415,28326
7.3469,28328
7.3525,28334
7.3581,28321
7.3635,28318
7.3691,28323
7.3748,28318
7.3802,28328
7.3859,28328
7.3915,28324
7.3968,28338
7.4025,28324
7.4081,28317
7.4135,28332
7.4191,28332
7.4247,28337
7.4302,28333
7.4358,28322
7.4415,28330
7.4468,28336
7.4525,28330
7.4581,28323
7.4636,28327
7.4692,28333
7.4748,28319
7.4802,28312
7.4858,28310
7.4915,28318
7.4968,28316
7.5025,28318
7.5082,28314
7.5136,28330
7.5192,28335
7.5248,28340
7.5302,28344
7.5359,28331
7.5413,28338
7.5469,28349
7.5525,28326
7.5582,28344
7.5635,28337
7.5692,28326
7.5748,28323
7.5803,28332
7.5859,28315
7.5915,28322
7.5969,28338
7.6025,28334
7.6082,28338
7.6135,28327
7.6192,28322
7.6248,28320
7.6302,28324
7.6358,28328
7.6414,28340
7.6469,28336
7.6526,28331
7.6582,28337
7.6636,28326
7.6692,28334
7.6749,28335
7.6802,28332
7.6859,28347
7.6915,28336
7.6969,28346
7.7025,28333
7.7081,28334
7.7135,28335
7.7191,28331
7.7248,28348
7.7303,28346
7.7359,28343
7.7413,28348
7.7469,28329
7.7525,28334
7.7582,28342
7.7635,28342
7.7691,28339
7.7748,28344
7.7802,28345
7.7858,28347
7.7915,28351
7.797,28340
7.8026,28337
7.808,28346
7.8136,28338
7.8192,28354
7.8249,28337
7.8302,28336
7.8359,28355
7.8415,28361
7.8468,28351
7.8525,28341
7.8581,28344
7.8637,28343
7.8693,28342
7.8747,28339
7.8803,28348
7.8859,28364
7.8913,28361
7.8969,28348
7.9026,28355
7.9079,28362
7.9136,28369
7.9192,28376
7.9249,28368
7.9302,28365
7.9359,28368
7.9415,28371
7.9468,28366
7.9525,28376
7.9582,28374
7.9635,28379
7.9692,28381
7.9748,28379
7.9802,28378
7.9858,28368
7.9915,28376
7.997,28380
8.0024,28378
8.008,28381
8.0137,28378
8.0193,28381
8.0248,28380
8.0304,28382
8.0357,28386
8.0413,28389
8.047,28392
8.0524,28399
8.058,28386
8.0637,28381
8.0693,28390
8.0747,28390
8.0803,28384
8.0859,28384
8.0916,28385
8.0969,28374
8.1026,28386
8.108,28388
8.1137,28377
8.1191,28387
8.1247,28386
8.1303,28385
8.136,28380
8.1413,28383
8.147,28385
8.1526,28380
8.158,28385
8.1637,28378
8.1693,28387
8.1747,28385
8.1803,28388
8.1859,28384
8.1913,28389
8.1969,28388
8.2026,28384
8.208,28389
8.2137,28384
8.2191,28385
8.2247,28388
8.2303,28384
8.236,28383
8.2413,28392
8.247,28393
8.2526,28384
8.258,28391
8.2636,28390
8.2693,28380
8.2746,28388
8.2803,28391
8.2859,28391
8.2915,28391
8.2969,28389
8.3025,28385
8.3081,28386
8.3135,28397
8.3191,28392
8.3247,28386
8.3304,28383
8.3357,28390
8.3413,28386
8.347,28389
8.3526,28390
8.3582,28384
8.3636,28385
8.3692,28383
8.3748,28384
8.3802,28388
8.3858,28391
8.3914,28388
8.3971,28395
8.4024,28390
8.4081,28391
8.4137,28390
8.4193,28382
8.4247,28376
8.4303,28382
8.436,28388
8.4413,28381
8.447,28391
8.4526,28393
8.458,28394
8.4636,28394
8.4693,28389
8.4746,28393
8.4803,28391
8.4859,28391
8.4915,28395
8.4969,28391
8.5026,28397
8.5082,28398
8.5135,28392
8.5192,28397
8.5248,28390
8.5302,28387
8.5358,28389
8.5415,28390
8.5471,28392
8.5524,28388
8.558,28389
8.5637,28387
8.5693,28394
8.5749,28394
8.5802,28388
8.5858,28383
8.5914,28384
8.5971,28370
8.6024,28373
8.608,28374
8.6137,28380
8.6193,28372
8.6247,28381
8.6303,28388
8.6358,28386
8.6415,28391
8.6471,28388
8.6525,28390
8.6581,28390
8.6636,28394
8.6693,28394
8.6746,28395
8.6803,28396
8.6859,28379
8.6914,28375
8.697,28377
8.7027,28380
8.7081,28386
8.7137,28386
8.7192,28386
8.7249,28396
8.7302,28384
8.7359,28383
8.7415,28388
8.7469,28394
8.7525,28389
8.7581,28392
8.7638,28393
8.7691,28394
8.7748,28387
8.7804,28397
8.7858,28393
8.7914,28391
8.7971,28397
8.8026,28400
8.808,28392
8.8136,28396
8.8193,28405
8.8249,28397
8.8302,28377
8.8359,28388
8.8415,28395
8.8471,28395
8.8525,28398
8.8581,28394
8.8638,28405
8.8691,28398
8.8748,28391
8.8804,28400
8.8858,28399
8.8914,28398
8.8971,28399
8.9024,28401
8.908,28396
8.9137,28402
8.9193,28401
8.9248,28397
8.9304,28402
8.936,28395
8.9414,28395
8.947,28402
8.9527,28398
8.9581,28396
8.9637,28399
8.9693,28401
8.9747,28392
8.9804,28394
8.986,28388
8.9916,28399
8.997,28393
9.0026,28397
9.0083,28400
9.0136,28390
9.0193,28381
9.0249,28385
9.0303,28379
9.0359,28386
9.0415,28392
9.0471,28386
9.0525,28380
9.0581,28394
9.0638,28394
9.0694,28386
9.0747,28391
9.0804,28392
9.086,28385
9.0914,28389
9.097,28394
9.1026,28378
9.108,28389
9.1136,28391
9.1193,28392
9.1249,28397
9.1303,28387
9.1359,28394
9.1415,28391
9.1469,28383
9.1525,28386
9.1582,28391
9.1638,28379
9.1692,28374
9.1748,28378
9.1805,28378
9.1858,28376
9.1915,28387
9.1971,28378
9.2025,28378
9.2081,28375
9.2137,28379
9.2194,28382
9.2247,28375
9.2304,28368
9.236,28363
9.2413,28374
9.247,28369
9.2526,28378
9.2583,28382
9.2636,28366
9.2692,28358
9.2749,28358
9.2805,28368
9.2859,28368
9.2915,28355
9.2971,28352
9.3025,28356
9.3081,28355
9.3138,28347
9.3194,28361
9.3248,28360
9.3304,28358
9.336,28358
9.3414,28349
9.347,28346
9.3527,28347
9.3581,28340
9.3638,28352
9.3692,28345
9.3748,28343
9.3805,28345
9.3858,28348
9.3914,28352
9.3971,28347
9.4027,28343
9.4081,28349
9.4137,28344
9.4193,28330
9.4247,28342
9.4303,28336
9.436,28361
9.4416,28346
9.447,28348
9.4526,28347
9.4582,28348
9.4639,28351
9.4692,28359
9.4749,28355
9.4805,28352
9.4858,28352
9.4915,28349
9.4971,28342
9.5025,28343
9.5081,28338
9.5137,28347
9.5194,28356
9.5247,28353
9.5304,28334
9.536,28345
9.5416,28340
9.547,28348
9.5526,28338
9.5582,28347
9.5638,28351
9.5692,28355
