Experiment: Feb_8_Batch_expt_zeroed vial 8, Mon Feb  8 17:45:11 2021
4.4826,25378
4.4882,25379
4.4938,25408
4.4992,25359
4.5049,25367
4.5105,25344
4.5159,25361
4.5214,25341
4.527,25351
4.5327,25351
4.5383,25315
4.5437,25321
4.5492,25302
4.5548,25361
4.5605,25305
4.5659,25321
4.5715,25335
4.577,25325
4.5826,25328
4.5883,25317
4.5937,25252
4.5993,25330
4.6048,25271
4.6105,25275
4.6159,25304
4.6215,25260
4.6272,25291
4.6326,25289
4.6382,25252
4.6438,25295
4.6492,25278
4.6549,25283
4.6604,25251
4.6661,25228
4.6715,25253
4.6772,25241
4.6825,25249
4.6882,25251
4.6938,25208
4.6992,25229
4.7048,25250
4.7105,25257
4.7158,25236
4.7215,25242
4.7269,25223
4.7325,25235
4.7382,25257
4.7438,25188
4.7492,25184
4.7548,25215
4.7604,25221
4.7661,25196
4.7715,25242
4.7771,25154
4.7825,25195
4.7882,25186
4.7938,25180
4.7992,25197
4.8048,25224
4.8105,25169
4.8158,25167
4.8214,25192
4.8271,25180
4.8327,25176
4.8381,25168
4.8438,25130
4.8494,25165
4.8548,25170
4.8604,25129
4.8661,25132
4.8714,25158
4.8771,25105
4.8827,25126
4.8881,25117
4.8938,25126
4.8992,25069
4.9048,25140
4.9105,25095
4.9161,25076
4.9215,25079
4.9271,25100
4.9325,25074
4.9382,25068
4.9439,25043
4.9492,25075
4.9549,25058
4.9605,25088
4.9659,25060
4.9715,25037
4.9772,25050
4.9825,25034
4.9881,25045
4.9938,25066
4.9992,25031
5.0049,25024
5.0105,25030
5.0159,25020
5.0215,25030
5.0271,25037
5.0325,25001
5.0382,25029
5.0438,25023
5.0494,24969
5.0549,25013
5.0605,24982
5.0659,24989
5.0716,24988
5.077,24994
5.0826,24983
5.0882,25001
5.0939,24960
5.0993,24978
5.1049,24992
5.1103,25004
5.116,24980
5.1216,24970
5.127,24964
5.1326,24963
5.1383,24946
5.1436,24992
5.1493,24977
5.1549,24943
5.1606,24969
5.166,24904
5.1717,24901
5.177,24929
5.1827,24916
5.188,24938
5.1937,24911
5.1994,24922
5.205,24902
5.2104,24895
5.216,24913
5.2214,24890
5.227,24879
5.2325,24869
5.2382,24898
5.2438,24878
5.2492,24885
5.2548,24888
5.2604,24859
5.2661,24880
5.2714,24843
5.2771,24849
5.2827,24882
5.2883,24860
5.2936,24868
5.2992,24844
5.3049,24858
5.3105,24850
5.3159,24839
5.3215,24831
5.3269,24835
5.3325,24853
5.3382,24863
5.3438,24828
5.3492,24832
5.3549,24832
5.3605,24837
5.3659,24814
5.3715,24813
5.3771,24791
5.3826,24824
5.3882,24804
5.3939,24813
5.3992,24806
5.4049,24795
5.4105,24813
5.4159,24829
5.4215,24788
5.4272,24779
5.4326,24779
5.4383,24770
5.4436,24786
5.4493,24762
5.455,24801
5.4604,24761
5.466,24764
5.4717,24734
5.477,24765
5.4827,24770
5.4881,24739
5.4937,24723
5.4994,24766
5.5048,24736
5.5104,24729
5.5161,24740
5.5215,24746
5.5271,24697
5.5328,24741
5.5382,24742
5.5438,24720
5.5495,24689
5.5548,24708
5.5605,24694
5.5661,24694
5.5715,24709
5.5771,24691
5.5828,24716
5.5881,24674
5.5938,24708
5.5994,24688
5.6048,24689
5.6104,24658
5.616,24652
5.6217,24691
5.627,24677
5.6327,24705
5.6383,24668
5.6438,24658
5.6494,24662
5.6548,24618
5.6604,24632
5.6661,24640
5.6714,24604
5.6771,24654
5.6827,24627
5.6881,24609
5.6938,24654
5.6992,24619
5.7049,24618
5.7105,24609
5.7159,24615
5.7215,24599
5.7271,24608
5.7328,24598
5.7381,24665
5.7437,24569
5.7494,24622
5.7548,24557
5.7604,24591
5.7659,24558
5.7715,24618
5.7772,24553
5.7826,24590
5.7882,24561
5.7937,24587
5.7994,24595
5.8048,24528
5.8104,24549
5.8161,24546
5.8214,24575
5.8271,24567
5.8327,24543
5.8381,24570
5.8438,24552
5.8494,24498
5.8548,24516
5.8605,24519
5.8661,24554
5.8714,24510
5.8771,24543
5.8827,24509
5.8881,24474
5.8937,24481
5.8993,24502
5.9049,24464
5.9103,24497
5.9159,24446
5.9216,24488
5.9271,24430
5.9327,24454
5.9384,24487
5.9437,24448
5.9494,24426
5.9548,24464
5.9604,24444
5.9658,24428
5.9715,24451
5.9771,24357
5.9828,24401
5.9881,24406
5.9937,24372
5.9994,24381
6.0048,24374
6.0104,24398
6.0159,24363
6.0214,24359
6.0271,24330
6.0327,24354
6.0384,24350
6.0437,24320
6.0494,24319
6.0548,24305
6.0604,24288
6.066,24293
6.0715,24297
6.0771,24278
6.0828,24249
6.0881,24225
6.0938,24272
6.0994,24237
6.105,24236
6.1104,24253
6.116,24224
6.1217,24218
6.1271,24214
6.1328,24248
6.1381,24212
6.1438,24173
6.1494,24180
6.1548,24148
6.1604,24188
6.166,24157
6.1717,24176
6.1771,24186
6.1827,24164
6.1881,24166
6.1938,24155
6.1994,24147
6.205,24152
6.2104,24121
6.216,24177
6.2217,24172
6.227,24120
6.2327,24116
6.2381,24107
6.2437,24102
