Experiment: Mar_18_osmo_expt vial 10, Thu Mar 18 18:20:50 2021
9.3943,59566
9.4,59565
9.4056,59566
9.411,59564
9.4166,59565
9.4223,59566
9.4279,59569
9.4332,59570
9.4389,59570
9.4445,59566
9.4499,59568
9.4555,59565
9.4612,59566
9.4665,59565
9.4722,59564
9.4778,59564
9.4832,59564
9.4888,59569
9.4944,59561
9.5001,59563
9.5054,59562
9.5111,59563
9.5167,59567
9.5221,59565
9.5277,59567
9.5333,59568
9.539,59566
9.5443,59568
9.55,59566
9.5556,59567
9.561,59562
9.5666,59565
9.5723,59566
9.5779,59569
9.5832,59562
9.5889,59567
9.5946,59564
9.5999,59564
9.6055,59565
9.6112,59563
9.6166,59568
9.6222,59565
9.6279,59563
9.6332,59563
9.6389,59565
9.6445,59567
9.6499,59566
9.6555,59566
9.6612,59565
9.6665,59562
9.6721,59563
9.6778,59567
9.6834,59568
9.6888,59567
9.6944,59564
9.7,59567
9.7057,59565
9.711,59568
9.7166,59567
9.7223,59566
9.7276,59567
9.7333,59569
9.7389,59566
