Experiment: Feb_26_Turb_expt vial 3, Fri Feb 26 16:54:25 2021
4.2499,54978
4.2555,54978
4.2612,54978
4.2668,54979
4.2721,54980
4.2778,54979
4.2834,54976
4.289,54973
4.2944,54972
4.3,54971
4.3056,54975
4.3113,54978
4.3166,54980
4.3222,54986
4.3279,54980
4.3332,54991
4.3389,54987
4.3445,54987
4.3501,54995
4.3555,54988
4.3611,54994
4.3668,54989
4.3721,54992
4.3777,55000
4.3834,54992
4.389,54987
4.3944,54994
4.4,54997
4.4056,54993
4.411,54997
4.4166,55000
4.4223,54997
4.4279,55001
4.4332,54999
4.4389,54994
4.4445,55006
4.4499,55004
4.4555,55004
4.4611,55006
4.4668,54997
4.4721,55006
4.4778,55007
4.4834,55004
4.489,55003
4.4943,55006
4.5,55004
4.5056,55001
4.5112,55006
4.5166,55006
4.5222,54997
4.5278,55004
4.5332,54999
4.5388,54999
4.5445,55004
4.5501,55002
4.5555,54999
4.5611,55002
4.5667,55002
4.5721,54999
4.5777,55005
4.5834,55001
4.589,55004
4.5943,55003
4.6,55004
4.6056,55003
4.6112,55007
4.6166,55004
4.6222,55008
4.6279,55004
4.6332,55003
4.6389,55006
4.6445,55002
4.6501,55003
4.6555,55006
4.6611,55002
4.6668,55001
4.6721,55008
4.6777,55001
4.6834,55004
4.689,55006
4.6943,55001
4.7,55008
4.7056,55005
4.711,55002
4.7166,55007
4.7222,55006
4.7279,55002
4.7332,55005
4.7388,54992
4.7445,55003
4.7501,55000
4.7554,55001
4.7611,55000
4.7667,55001
4.7723,54999
4.7777,55003
4.7833,54998
4.7889,54996
4.7946,55004
4.7999,54998
4.8056,54999
4.8112,54997
4.8165,55001
4.8222,55005
4.8278,54998
4.8334,54997
4.8388,55000
4.8444,55000
4.85,54995
4.8554,54996
4.861,55002
4.8667,55000
4.8723,54998
4.8779,54995
4.8833,55002
4.8889,55002
4.8945,54999
4.8999,55003
4.9055,54997
4.9111,55000
4.9168,54998
4.9221,54996
4.9278,54996
4.9334,54998
4.939,54998
4.9444,54994
4.95,55000
4.9557,54996
4.961,54999
4.9666,54990
4.9723,54996
