Experiment: Feb_24_Turb_expt vial 12, Wed Feb 24 18:13:41 2021
8.5343,56518
8.5399,56522
8.5454,56511
8.5511,56513
8.5567,56519
8.5621,56518
8.5677,56516
8.5733,56511
8.5787,56517
8.5843,56513
8.59,56516
8.5954,56517
8.601,56516
8.6066,56518
8.6121,56513
8.6178,56520
8.6231,56511
8.6288,56510
8.6344,56509
8.6398,56513
8.6454,56520
8.651,56517
8.6567,56521
8.662,56515
8.6675,56517
8.6732,56514
8.6788,56516
8.6844,56507
8.6898,56515
8.6953,56521
8.701,56526
8.7066,56525
8.712,56523
8.7176,56519
8.7231,56525
8.7288,56531
8.7344,56538
8.7398,56530
8.7454,56528
8.7509,56533
8.7566,56532
8.7621,56538
8.7678,56533
8.7731,56538
8.7787,56535
8.7844,56537
8.79,56540
8.7954,56538
8.801,56536
8.8065,56533
8.8121,56535
8.8178,56536
8.8231,56537
8.8288,56536
8.8343,56538
8.84,56544
8.8453,56538
8.851,56545
8.8566,56547
8.8622,56547
8.8678,56539
8.8731,56545
8.8788,56543
8.8844,56546
8.8898,56541
8.8954,56543
8.901,56534
8.9067,56534
8.912,56533
8.9176,56538
8.9233,56538
8.9286,56535
8.9343,56531
8.9399,56529
8.9455,56531
8.9511,56532
8.9565,56530
8.9621,56521
8.9677,56527
8.9733,56527
8.9787,56527
8.9843,56527
8.9899,56525
8.9955,56526
9.0009,56530
9.0065,56528
9.0122,56526
9.0177,56529
9.0231,56534
9.0287,56532
9.0343,56517
9.0399,56516
9.0453,56527
9.0509,56533
9.0566,56525
9.0622,56530
9.0675,56529
9.0731,56530
9.0788,56525
9.0844,56521
9.0897,56528
9.0954,56522
9.101,56523
9.1066,56526
9.1119,56524
9.1176,56525
9.1232,56531
9.1288,56529
9.1342,56528
9.1398,56531
9.1454,56533
9.151,56534
9.1564,56533
9.162,56532
9.1677,56538
9.1733,56532
9.1789,56529
9.1842,56534
9.1898,56525
9.1955,56534
9.2011,56533
9.2065,56521
9.2121,56522
9.2177,56528
9.2233,56525
9.2287,56533
9.2343,56524
9.2399,56521
9.2455,56521
9.2509,56526
9.2565,56519
9.2621,56523
9.2677,56518
9.2731,56526
9.2787,56522
9.2843,56515
9.29,56512
9.2953,56515
9.3009,56516
9.3066,56524
9.3122,56518
9.3176,56520
9.3232,56529
9.3288,56520
9.3344,56523
9.3398,56522
9.3454,56524
9.351,56526
9.3567,56526
9.362,56529
9.3676,56536
9.3732,56536
9.3789,56534
9.3842,56529
9.3899,56531
9.3955,56534
9.4008,56540
9.4065,56536
9.4121,56540
9.4177,56530
9.4233,56530
9.4287,56532
9.4343,56534
9.44,56531
9.4453,56531
9.451,56537
9.4566,56525
9.4622,56524
9.4676,56527
9.4732,56523
9.4788,56525
9.4844,56523
9.4898,56527
9.4954,56525
9.501,56525
9.5064,56522
9.512,56529
9.5176,56526
9.5233,56523
9.5286,56524
9.5342,56524
9.5399,56523
9.5455,56525
9.5511,56530
9.5565,56524
9.5621,56524
9.5677,56531
9.5733,56529
9.5787,56526
9.5843,56527
9.5899,56527
9.5956,56525
9.6009,56522
9.6065,56526
9.6122,56529
9.6175,56529
9.6232,56529
9.6288,56529
9.6344,56530
9.6398,56532
9.6454,56531
9.651,56529
9.6566,56528
9.662,56530
9.6676,56533
9.6733,56528
9.6789,56526
9.6842,56534
9.6899,56532
9.6955,56530
9.7011,56532
9.7065,56537
9.7121,56534
9.7177,56530
9.7233,56529
9.7287,56527
9.7343,56521
9.7399,56533
9.7455,56522
9.7509,56524
