Experiment: Apr27_cal_tst_expt vial 7, Wed Apr 27 17:25:27 2022
8.1759,28615
8.1815,28610
8.1872,28619
8.1928,28630
8.1981,28608
8.2038,28620
8.2094,28622
8.215,28622
8.2204,28619
8.226,28604
8.2316,28625
8.2372,28632
8.2426,28612
8.2482,28622
8.2539,28624
8.2592,28615
8.2649,28625
8.2705,28624
8.2761,28614
8.2815,28622
8.2871,28624
8.2927,28635
8.2981,28619
8.3037,28629
8.3093,28645
8.315,28627
8.3203,28626
8.326,28619
8.3316,28625
8.3372,28617
8.3426,28630
8.3482,28636
8.3539,28638
8.3592,28658
8.3648,28652
8.3705,28638
8.3761,28639
8.3815,28634
8.3871,28629
8.3927,28635
8.3983,28632
8.4036,28634
8.4093,28629
8.4149,28632
8.4205,28624
8.4258,28612
8.4315,28629
8.4371,28635
8.4427,28631
8.4483,28633
8.4537,28622
8.4593,28615
8.4649,28624
8.4706,28626
8.4759,28616
8.4815,28624
8.4872,28634
8.4928,28619
8.4981,28615
8.5038,28633
8.5094,28629
8.515,28619
8.5206,28629
8.5259,28619
8.5315,28625
8.5372,28626
8.5428,28628
8.5481,28609
8.5538,28606
8.5594,28624
8.565,28624
8.5703,28630
8.576,28627
8.5816,28631
8.5872,28634
8.5928,28637
8.5981,28636
8.6038,28627
8.6094,28639
8.615,28644
8.6204,28641
8.626,28617
8.6316,28619
8.6372,28618
8.6428,28626
8.6481,28623
8.6538,28619
8.6594,28628
8.6647,28639
8.6704,28622
8.676,28629
8.6816,28630
8.6872,28629
8.6926,28616
8.6982,28608
8.7038,28619
8.7094,28630
8.7148,28625
8.7204,28627
8.726,28625
8.7317,28633
8.737,28625
8.7426,28625
8.7483,28624
8.7539,28628
8.7592,28629
8.7648,28635
8.7705,28628
8.7761,28640
8.7815,28633
8.7871,28620
8.7927,28629
8.7981,28623
8.8037,28613
8.8093,28620
8.815,28632
8.8203,28632
8.8259,28627
8.8316,28620
8.8372,28603
8.8428,28637
8.8482,28618
8.8538,28619
8.8594,28619
8.8648,28615
8.8704,28615
8.8761,28621
8.8815,28605
8.8871,28596
8.8927,28618
8.8983,28616
8.9037,28627
8.9093,28613
8.9149,28614
8.9206,28612
8.9259,28608
8.9315,28623
8.9372,28628
8.9428,28619
8.9481,28619
8.9538,28625
8.9594,28609
8.9647,28613
8.9704,28612
8.976,28625
8.9816,28628
8.9872,28622
8.9925,28626
8.9982,28619
9.0038,28625
9.0095,28635
9.0148,28632
9.0204,28624
9.026,28625
9.0317,28614
9.037,28615
9.0426,28613
9.0483,28619
9.0539,28605
9.0592,28622
9.0649,28613
9.0705,28623
9.0761,28608
9.0815,28618
9.0871,28618
9.0925,28616
9.0982,28625
9.1038,28622
9.1094,28619
9.1148,28626
9.1204,28627
9.126,28614
9.1316,28630
9.137,28621
9.1426,28617
9.1482,28623
9.1538,28617
9.1594,28609
9.1648,28623
9.1704,28617
9.176,28630
9.1816,28621
9.1872,28625
9.1926,28618
9.1982,28626
9.2038,28631
9.2094,28630
9.215,28624
9.2204,28631
9.226,28627
9.2316,28635
9.2372,28630
9.2426,28622
9.2482,28617
9.2538,28618
9.2594,28623
9.2648,28619
9.2704,28626
9.276,28622
9.2816,28622
9.2872,28613
9.2926,28625
9.2982,28621
9.3038,28628
9.3094,28627
9.3148,28622
9.3204,28594
9.3261,28634
9.3317,28607
9.337,28624
9.3427,28629
9.3483,28622
9.3537,28640
9.3593,28643
9.3649,28640
9.3705,28642
9.3759,28639
9.3815,28640
9.3872,28643
