Experiment: Mar_5_T2_Turb_expt vial 1, Fri Mar  5 18:09:41 2021
4.5659,27775
4.5713,27789
4.577,27782
4.5824,27752
4.5881,27777
4.5935,27768
4.5992,27756
4.6046,27743
4.6103,27754
4.6159,27735
4.6214,27741
63.8061,24306
63.8118,24324
63.8173,24289
63.8228,24238
63.8285,24639
63.8339,24561
63.8396,24596
63.845,24653
63.8505,24634
63.8562,24661
63.8616,24684
63.8673,24724
63.8728,24767
63.8785,24771
63.8839,24760
63.8895,24760
63.8949,24818
63.9006,24835
63.906,24803
63.9118,25388
63.9172,25642
63.9229,25656
63.9283,25625
63.934,25704
63.9397,25656
63.9451,25686
63.9508,25705
63.9562,25677
63.9617,25710
63.9674,25704
63.9728,25692
63.9785,25735
63.9839,25695
63.9896,25720
64.1117,25805
64.1174,25798
64.1228,25770
64.1285,25799
64.1339,25792
64.5176,25870
64.5228,25912
64.5285,25888
64.5339,25865
64.5396,25910
64.5451,25872
64.5508,25876
64.5562,25912
64.5619,25899
64.5673,25900
64.573,25885
64.5784,25889
64.5841,25910
64.5895,25892
64.5952,25906
64.6006,25932
64.6063,25889
64.6117,25894
64.6174,25908
64.6229,25921
64.6283,25924
64.634,25935
64.6394,25922
64.6451,25909
64.6505,25952
64.6562,25962
64.6616,25954
64.6673,25902
64.6727,25937
64.6784,25948
64.6841,25917
64.6895,25925
64.6952,25929
64.7006,25934
64.7063,25945
64.7117,25949
64.7174,25951
64.7228,25939
64.7285,25963
64.7339,25919
