Experiment: April_27_Phage_Osmo_expt vial 11, Tue Apr 27 19:11:23 2021
5.6496,56236
5.655,56241
5.6606,56236
5.6663,56233
5.6716,56237
5.6773,56238
5.6829,56233
5.6885,56238
5.6938,56235
5.6995,56236
5.7051,56235
5.7107,56236
5.7161,56235
5.7217,56233
5.7274,56240
5.733,56239
5.7384,56236
5.744,56237
5.7497,56240
5.755,56234
5.7607,56239
5.7663,56240
5.7717,56235
5.7773,56235
5.783,56237
5.7883,56237
5.794,56235
5.7996,56236
5.8052,56235
5.8106,56236
5.8163,56237
5.8219,56237
5.8272,56236
5.8329,56240
5.8385,56234
5.8439,56238
5.8495,56235
5.8551,56239
5.8605,56231
5.8661,56228
5.8718,56234
5.8774,56232
5.8828,56238
5.8884,56236
5.894,56237
5.8994,56230
5.905,56234
5.9107,56230
5.9163,56232
5.9217,56234
5.9273,56236
5.9329,56235
5.9383,56237
5.9439,56235
5.9496,56237
5.9552,56238
5.9606,56239
5.9662,56234
5.9719,56236
5.9772,56238
5.9828,56236
5.9884,56239
5.994,56239
5.9997,56233
6.0051,56235
6.0107,56236
6.0161,56233
6.0217,56238
6.0273,56236
6.033,56234
6.0383,56237
6.044,56233
6.0496,56243
6.055,56234
6.0606,56234
6.0663,56239
6.0719,56232
6.0773,56236
6.0829,56236
6.0885,56234
6.0939,56234
6.0995,56242
6.1052,56238
6.1108,56236
6.1162,56237
6.1218,56235
6.1274,56233
6.1328,56239
6.1384,56236
6.1441,56236
6.1494,56239
6.1551,56235
6.1607,56234
6.1664,56239
6.1717,56238
6.1774,56235
6.183,56240
6.1884,56238
6.194,56236
6.1996,56236
6.2053,56239
6.2106,56233
6.2162,56237
6.2219,56241
6.2272,56234
6.2329,56229
6.2385,56234
6.2439,56237
6.2495,56235
6.2552,56233
6.2605,56236
6.2662,56233
6.2718,56241
6.2774,56240
6.2828,56236
6.2884,56235
6.2941,56237
6.2994,56231
6.3051,56235
6.3107,56239
6.3161,56238
6.3217,56240
6.3273,56237
6.333,56235
6.3384,56236
6.344,56238
6.3496,56236
6.355,56233
6.3606,56237
6.3662,56238
6.3719,56233
6.3772,56236
6.3829,56237
6.3885,56236
6.3939,56230
6.3995,56237
6.4051,56233
6.4108,56232
6.4161,56236
6.4218,56236
6.4274,56233
6.433,56240
6.4384,56233
6.444,56236
6.4497,56239
6.455,56231
6.4607,56231
6.4663,56234
6.4716,56237
6.4773,56232
6.4829,56234
6.4886,56233
6.4939,56230
6.4996,56234
6.5052,56235
6.5106,56232
6.5162,56228
6.5219,56235
6.5275,56233
6.5328,56233
6.5385,56234
6.5439,56229
6.5495,56230
6.5551,56229
6.5608,56228
6.5661,56231
6.5718,56234
6.5774,56234
6.5828,56225
6.5884,56224
6.594,56220
6.5997,56216
6.605,56221
6.6107,56222
6.6163,56225
6.6219,56222
6.6273,56221
6.6329,56220
6.6386,56221
6.6439,56225
6.6495,56222
6.6552,56223
6.6608,56223
6.6662,56228
6.6718,56219
6.6774,56227
6.6828,56222
6.6884,56221
6.6941,56228
6.6994,56228
6.7051,56222
6.7108,56228
6.7161,56225
6.7217,56221
6.7274,56231
6.733,56224
6.7384,56221
6.744,56228
6.7496,56225
6.755,56221
6.7606,56229
6.7663,56226
6.7719,56224
6.7773,56224
6.7829,56229
6.7885,56225
6.7939,56223
6.7995,56226
6.8052,56226
6.8105,56224
6.8162,56226
6.8218,56226
6.8274,56224
6.8328,56226
6.8384,56230
6.8441,56229
6.8494,56227
6.8551,56225
6.8607,56228
6.8664,56228
6.8717,56227
6.8774,56226
6.883,56230
