Experiment: Feb_19_real_eric2_expt vial 3, Fri Feb 19 13:52:14 2021
7.7746,26254
7.78,26246
7.7854,26357
7.7911,26427
7.7965,26335
7.8022,26384
7.8078,26327
7.8133,26338
7.819,26330
7.8244,26325
7.8301,26285
7.8357,26260
7.8411,26307
7.8468,26281
7.8522,26255
7.8579,26268
7.8634,26325
7.8688,26370
7.8745,26400
7.8801,26378
7.8855,26379
7.8912,26333
7.8967,26316
7.9023,26300
7.9078,26351
7.9134,26341
7.9188,26289
7.9245,26319
7.9299,26293
7.9356,26337
7.941,26373
7.9467,26378
7.9521,26328
7.9578,26436
7.9635,26321
7.9689,26348
7.9743,26298
7.98,26290
7.9857,26363
7.991,26270
7.9967,26275
8.0078,26284
8.0135,26318
8.0188,26348
8.0245,26402
8.0299,26418
8.0356,26416
8.0412,26375
8.0466,26357
8.0521,26268
8.0577,26354
8.0634,26296
8.0691,26316
8.0744,26323
8.0802,26304
8.0855,26298
8.0912,26330
8.0967,26358
8.1024,26355
8.1078,26420
8.1135,26391
8.1188,26427
8.1245,26397
8.13,26367
8.1356,26339
8.1411,26319
8.1467,26282
8.1524,26286
8.1578,26320
8.1634,26325
8.1689,26327
8.1746,26363
8.18,26430
8.1857,26388
8.1911,26401
8.1967,26364
8.2021,26358
8.2079,26374
8.2135,26308
8.2189,26361
8.2246,26335
8.2299,26356
8.2356,26363
8.241,26289
8.2467,26319
8.2521,26385
8.2578,26370
8.2632,26434
8.2689,26426
8.2745,26402
8.2799,26416
8.2856,26386
8.291,26368
8.2967,26373
8.3024,26332
8.3078,26339
8.3135,26381
8.3189,26318
8.3246,26357
8.33,26366
8.3357,26468
8.3411,26453
8.3468,26452
8.3522,26395
8.3579,26417
8.3633,26419
8.369,26357
8.3744,26380
8.38,26321
8.3855,26329
8.3912,26378
8.3968,26293
8.4022,26333
8.4079,26403
8.4134,26445
8.4188,26429
8.4245,26415
8.4301,26427
8.4355,26416
8.4413,26378
8.4466,26421
8.4523,26402
8.4577,26372
8.4634,26350
8.4688,26344
8.4745,26338
8.4802,26338
8.4856,26409
8.4913,26426
8.4967,26403
8.5024,26425
8.5077,26405
8.5134,26473
8.5189,26396
8.5245,26445
8.5299,26369
8.5356,26419
8.5413,26393
8.5467,26342
8.5523,26434
8.5578,26385
8.5635,26476
8.5689,26517
8.5746,26516
8.5799,26494
8.5856,26499
8.591,26490
8.5967,26461
8.6024,26471
8.6078,26500
8.6134,26499
8.6188,26454
8.6245,26426
8.6302,26434
8.6356,26419
8.6413,26446
8.6467,26509
8.6522,26517
8.6578,26527
8.6635,26484
8.6689,26537
8.6746,26457
8.68,26459
8.6857,26491
8.6911,26474
8.6967,26421
8.7022,26460
8.7078,26454
8.7135,26517
8.7189,26498
8.7244,26480
8.7301,26513
8.7357,26535
8.7411,26549
8.7468,26479
8.7522,26434
8.7579,26471
8.7633,26467
8.7688,26471
8.7745,26455
8.7799,26459
8.7856,26444
8.7913,26367
8.7966,26453
8.8023,26502
8.8078,26523
8.8134,26490
8.8191,26523
8.8243,26488
8.8301,26489
8.8357,26470
8.8412,26451
8.8468,26453
8.8522,26421
8.8579,26437
8.8635,26398
8.869,26364
8.8744,26468
8.88,26471
8.8857,26482
8.8911,26445
8.8967,26486
8.9021,26402
8.9078,26483
8.9135,26488
8.9189,26440
8.9245,26407
8.9302,26397
8.9356,26387
8.9413,26409
8.9467,26380
8.9524,26430
8.9578,26482
8.9634,26532
8.9688,26491
8.9745,26510
8.9802,26497
8.9856,26477
8.9912,26474
8.9966,26473
9.008,26412
9.0134,26453
9.019,26403
9.0244,26382
9.0301,26482
9.0355,26481
9.0412,26530
9.0466,26517
9.0523,26499
9.0577,26531
9.0634,26513
9.0688,26412
9.0745,26478
9.0802,26429
9.0856,26400
9.0913,26466
9.0966,26439
9.1023,26368
9.1078,26516
9.1135,26549
9.1189,26532
9.1245,26504
9.1302,26483
9.1356,26476
9.1411,26503
9.1467,26467
9.1524,26453
9.1578,26335
9.1635,26455
9.1689,26450
9.1746,26423
9.18,26401
9.1857,26460
9.1911,26540
9.1968,26575
9.2022,26534
9.2079,26503
9.2133,26555
9.219,26450
9.2244,26435
9.2301,26466
9.2357,26479
9.2411,26423
9.2468,26402
9.2522,26447
9.2579,26401
9.2633,26449
9.2691,26567
9.2745,26531
9.2801,26547
9.2855,26488
9.2912,26492
9.2967,26487
9.3023,26491
9.3077,26457
9.3134,26487
9.3191,26437
9.3245,26424
9.3301,26427
9.3356,26416
9.3412,26505
9.3467,26517
9.3523,26484
9.3577,26565
9.3634,26510
9.3691,26529
9.3745,26466
9.3802,26452
9.3856,26466
9.3913,26505
9.3966,26433
9.4023,26450
9.4077,26438
9.4134,26442
9.4189,26527
9.4246,26544
9.43,26546
9.4356,26557
9.4413,26566
9.4467,26533
9.4524,26467
9.4578,26469
9.4635,26466
9.4689,26515
9.4745,26449
9.4799,26418
9.4856,26445
9.4913,26461
9.4967,26491
9.5022,26516
9.5079,26553
9.5135,26516
9.5189,26518
9.5246,26495
9.53,26483
9.5357,26476
9.5411,26465
9.5468,26475
9.5524,26462
9.5578,26401
9.5635,26470
9.5689,26474
9.5746,26455
9.5801,26523
9.5858,26546
9.5912,26548
9.5968,26525
9.6023,26564
9.608,26514
9.6133,26443
9.619,26521
9.6244,26479
9.6301,26533
9.6355,26439
9.6412,26468
9.6468,26401
9.6523,26489
9.6577,26545
9.6634,26551
9.6691,26503
9.6744,26563
9.6802,26538
9.6856,26552
9.6913,26542
9.6967,26513
9.7023,26493
9.708,26476
9.7134,26531
9.7191,26493
