Experiment: Mar_16_osmo_expt vial 10, Tue Mar 16 20:56:43 2021
3.8454,32766
3.8508,32765
3.8565,32768
3.8619,32767
3.8676,32769
3.873,32766
3.8787,32769
3.8841,32769
3.8897,32767
3.8954,32765
3.9008,32769
3.9065,32769
3.9119,32766
3.9176,32770
3.923,32772
3.9287,32769
3.9341,32767
3.9398,32767
3.9453,32767
3.951,32768
3.9563,32766
3.962,32767
3.9674,32764
3.9731,32763
3.9785,32764
3.9842,32767
3.9896,32768
3.9953,32770
4.001,32768
4.0065,32770
4.0119,32767
4.0175,32767
4.0229,32771
4.0287,32770
4.034,32771
4.0397,32768
4.0454,32767
4.0508,32767
4.0565,32766
4.062,32772
4.0674,32770
4.0731,32766
4.0788,32767
4.0842,32767
4.0899,32765
4.0953,32763
4.1009,32770
4.1064,32771
4.1121,32767
4.1175,32769
4.1232,32769
4.1286,32767
4.1343,32771
4.1397,32766
4.1454,32769
4.1509,32768
4.1565,32769
4.162,32767
4.1674,32767
4.1731,32769
4.1788,32767
4.1842,32767
4.1898,32766
4.1952,32766
4.2009,32767
4.2063,32763
4.212,32770
4.2174,32767
4.2231,32766
4.2285,32768
4.2342,32768
4.2396,32764
4.2453,32768
4.2508,32771
4.2565,32766
4.2619,32769
4.2676,32768
4.273,32763
4.2787,32766
4.2841,32768
4.2898,32765
4.2952,32769
4.3009,32767
4.3063,32768
4.312,32766
4.3174,32768
4.3231,32767
4.3288,32769
4.3342,32768
4.3399,32764
4.3453,32770
4.3509,32770
4.3564,32765
4.362,32768
4.3675,32766
4.3732,32763
4.3786,32766
4.3843,32770
4.3897,32765
4.3954,32762
4.4008,32762
4.4065,32765
4.4119,32765
4.4176,32768
4.423,32767
4.4287,32763
4.4341,32764
4.4398,32765
4.4452,32767
4.4509,32768
4.4563,32766
4.462,32766
4.4674,32765
4.4731,32767
4.4785,32768
4.4842,32765
4.4896,32764
4.4953,32764
4.5007,32766
4.5064,32767
4.5118,32766
4.5175,32767
4.5229,32766
4.5286,32764
4.5343,32765
4.5397,32764
4.5454,32765
4.5508,32766
4.5565,32761
4.562,32762
4.5677,32771
4.5731,32766
4.5788,32770
4.5842,32769
4.5899,32770
4.5953,32768
4.601,32767
4.6064,32768
4.6121,32768
4.6175,32766
4.6232,32769
4.6286,32767
4.6343,32764
4.6397,32767
4.6454,32765
4.6508,32771
4.6565,32769
4.6619,32767
4.6676,32769
4.673,32767
4.6787,32767
4.6841,32769
4.6898,32768
4.6952,32769
4.7009,32769
4.7063,32765
4.712,32765
4.7174,32766
4.7231,32769
4.7285,32771
4.7342,32762
4.7399,32765
4.7453,32770
4.751,32771
4.7564,32769
4.7621,32769
4.7713,32768
4.7785,32768
4.7786,32764
4.7841,32765
4.7898,32767
4.7952,32767
4.8009,32764
4.8063,32767
4.812,32768
4.8182,32769
4.826,32767
4.8315,32768
4.8343,32768
4.8398,32768
4.8502,32768
4.8587,32768
4.8587,32769
4.8619,32769
4.8715,32773
4.8816,32773
4.8843,32768
4.8843,32767
4.8897,32767
4.8953,32765
4.9007,32765
4.9064,32765
4.9121,32768
4.9175,32771
4.9232,32767
4.9286,32769
4.9343,32767
4.9397,32769
4.9453,32764
4.951,32768
4.9564,32769
4.9621,32769
4.9675,32767
4.9731,32766
4.9786,32766
4.9843,32765
4.9897,32770
4.9953,32767
5.0008,32767
5.0065,32763
5.0119,32766
5.0176,32767
5.023,32769
5.0287,32767
5.0341,32768
5.0398,32767
5.0454,32768
5.0509,32764
5.0565,32765
5.062,32770
5.0677,32768
5.0731,32769
5.0788,32766
5.0842,32767
5.0899,32766
5.0953,32767
5.101,32765
5.1064,32768
5.1121,32768
5.1175,32765
5.1232,32766
5.1286,32764
5.1343,32762
5.1397,32765
5.1454,32766
5.151,32763
5.1565,32765
5.1621,32763
5.1676,32765
5.1732,32766
5.1786,32763
5.1843,32767
5.1898,32764
5.1954,32766
5.2009,32765
5.2066,32765
5.212,32764
5.2177,32764
5.2231,32766
5.2288,32768
5.2342,32769
5.2399,32764
5.2453,32766
5.251,32767
5.2564,32767
5.2621,32766
5.2675,32765
5.2732,32764
5.2786,32769
5.2843,32767
5.2897,32767
5.2954,32769
5.3008,32766
5.3065,32766
5.3119,32767
5.3176,32763
5.323,32769
5.3287,32767
5.3341,32768
5.3398,32769
5.3455,32770
5.3509,32769
5.3565,32772
5.362,32768
5.3677,32767
5.373,32771
5.3787,32767
5.3842,32767
5.3899,32767
5.3953,32765
5.401,32765
5.4064,32767
5.4121,32767
5.4175,32771
5.4232,32764
5.4286,32767
5.4343,32770
5.4397,32766
5.4454,32767
5.4511,32765
5.4565,32766
5.4622,32767
5.4676,32766
5.4733,32765
5.4787,32769
5.4844,32769
5.4898,32768
5.4952,32771
5.5009,32767
5.5066,32766
5.512,32765
5.5177,32767
5.5231,32766
5.5288,32768
5.5342,32767
5.5399,32765
5.5453,32771
5.551,32769
5.5564,32762
5.5621,32764
5.5675,32767
5.5732,32765
5.5786,32767
5.5843,32768
5.5897,32766
5.5954,32765
5.6008,32765
5.6065,32766
5.6119,32765
5.6176,32765
5.623,32767
5.6287,32768
5.6341,32767
5.6398,32764
5.6455,32773
5.6509,32767
5.6565,32763
5.662,32761
5.6677,32765
5.6731,32765
5.6788,32765
5.6842,32764
5.6899,32762
5.6953,32766
5.701,32769
5.7064,32768
5.7121,32765
5.7175,32767
5.7232,32764
5.7286,32767
5.7343,32762
5.7399,32767
5.7453,32766
5.751,32762
5.7565,32764
5.7622,32768
5.7676,32762
5.7732,32760
5.7786,32765
5.7843,32763
5.7897,32765
5.7954,32766
5.8008,32768
5.8065,32769
5.8119,32766
5.8176,32772
5.823,32765
5.8287,32768
5.8341,32765
5.8398,32768
5.8455,32769
5.8509,32766
5.8566,32765
5.862,32764
5.8677,32765
5.8731,32765
5.8788,32766
5.8842,32766
5.8899,32768
5.8953,32765
5.901,32766
5.9064,32766
5.9121,32766
5.9175,32766
5.9232,32769
5.9286,32765
5.9343,32765
5.9397,32769
5.9454,32767
5.9508,32764
5.9565,32764
5.9619,32769
5.9676,32764
5.973,32763
5.9787,32766
5.9841,32766
5.9898,32766
5.9955,32765
6.0009,32765
6.0063,32764
6.012,32766
6.0174,32769
6.023,32770
6.0287,32770
6.0341,32765
6.0398,32766
6.0455,32769
6.0509,32766
6.0566,32766
6.062,32767
6.0677,32765
6.0731,32768
6.0788,32767
6.0842,32768
6.0898,32766
6.0952,32767
6.1009,32768
6.1063,32763
6.112,32766
6.1174,32765
6.1231,32766
6.1288,32768
6.1342,32770
6.1396,32765
6.1453,32765
6.151,32764
6.1564,32764
6.1621,32766
6.1675,32765
6.1732,32769
6.1786,32772
6.1843,32772
6.1897,32769
6.1954,32769
6.2009,32767
6.2065,32767
6.2119,32764
6.2176,32763
6.223,32765
6.2287,32767
6.2341,32765
6.2398,32766
6.2452,32767
6.2509,32769
6.2566,32764
6.262,32767
6.2677,32768
6.2731,32767
6.2788,32767
6.2842,32760
6.2899,32769
6.2953,32768
6.301,32767
6.3064,32766
6.3121,32770
6.3175,32767
6.3232,32768
6.3286,32766
6.3343,32764
6.34,32765
6.3453,32768
6.3511,32768
6.3564,32764
6.3621,32766
6.3675,32767
6.3732,32767
6.3785,32764
6.3842,32765
6.3899,32764
6.3953,32767
6.401,32767
6.4064,32764
6.412,32768
6.4177,32765
6.4231,32767
6.4288,32767
6.4342,32766
6.4398,32765
6.4455,32768
6.4509,32767
6.4566,32767
6.462,32766
6.4676,32766
6.473,32769
6.4787,32767
6.4844,32767
6.4898,32768
6.4954,32767
6.5008,32766
6.5065,32769
6.5119,32765
6.5176,32765
6.5231,32767
6.5287,32768
6.5341,32769
6.5398,32767
6.5452,32765
6.5509,32769
6.5566,32770
6.562,32767
6.5677,32768
6.5731,32770
6.5788,32768
6.5842,32766
6.5899,32768
6.5953,32761
6.601,32764
6.6064,32769
6.6121,32769
6.6175,32767
6.6232,32763
6.6286,32765
6.6343,32770
6.64,32767
6.6454,32768
6.651,32772
6.6565,32769
6.6621,32769
6.6676,32766
6.6732,32766
6.6787,32766
6.6843,32765
6.6897,32771
6.6954,32767
6.7009,32766
6.7065,32766
6.7119,32767
6.7176,32767
6.723,32765
6.7287,32769
6.7344,32767
6.7398,32770
6.7455,32764
6.7509,32762
6.7566,32762
6.762,32767
6.7677,32766
6.7731,32766
6.7788,32764
6.7842,32761
6.7899,32768
6.7953,32766
6.801,32769
6.8064,32766
6.8121,32768
6.8175,32763
6.8231,32767
6.8288,32769
6.8343,32768
6.8397,32767
6.8454,32764
6.8508,32764
6.8565,32768
6.8622,32767
6.8676,32767
6.8733,32767
6.8787,32770
6.8844,32766
6.8898,32765
6.8955,32766
6.9009,32767
6.9066,32768
6.912,32765
6.9177,32768
6.9231,32768
6.9287,32771
6.9341,32767
6.9398,32769
6.9452,32770
6.9509,32769
6.9563,32770
6.962,32771
6.9677,32769
6.9731,32770
6.9788,32769
6.9842,32766
6.9899,32769
6.9953,32769
7.001,32770
7.0064,32769
7.0121,32770
7.0175,32772
7.0232,32767
7.0286,32766
7.0343,32768
7.0397,32767
7.0453,32768
7.051,32769
7.0564,32765
7.0621,32769
7.0675,32770
7.0732,32770
7.0786,32767
7.0843,32765
7.0899,32768
7.0953,32769
7.101,32769
7.1064,32769
7.1121,32767
7.1175,32769
7.1232,32767
7.1286,32767
7.1343,32761
7.1397,32764
7.1454,32770
7.1508,32768
7.1565,32764
7.1622,32765
7.1676,32766
7.1732,32765
7.1786,32768
7.1843,32769
7.1897,32767
7.1954,32768
7.2008,32769
7.2065,32769
7.2122,32768
7.2176,32767
7.2232,32766
7.2286,32766
7.2343,32766
7.2397,32769
7.2454,32765
7.2508,32765
7.2565,32768
7.2622,32765
7.2676,32766
7.2732,32766
7.2786,32766
7.2843,32766
7.2897,32765
7.2954,32769
7.3008,32765
7.3065,32768
7.3119,32766
7.3176,32769
7.3232,32767
7.3287,32767
7.3344,32764
7.3398,32767
7.3454,32763
7.3509,32766
7.3565,32768
7.362,32765
7.3676,32763
7.373,32762
7.3787,32764
7.3844,32764
7.3898,32762
7.3955,32765
7.4009,32763
7.4065,32766
7.4119,32762
7.4176,32768
7.423,32764
7.4287,32761
7.4344,32765
7.4398,32768
7.4455,32764
7.4509,32763
7.4565,32763
7.462,32762
7.4676,32767
7.473,32769
7.4787,32765
7.4841,32763
7.4898,32768
7.4952,32766
7.5009,32767
7.5063,32762
7.512,32765
7.5177,32763
7.5231,32766
7.5288,32764
7.5342,32762
7.5399,32767
7.5453,32766
7.5509,32768
7.5566,32764
7.562,32766
7.5677,32761
7.5731,32768
7.5788,32766
7.5842,32764
7.5899,32764
7.5953,32764
7.601,32762
7.6064,32764
7.612,32764
7.6177,32763
7.6231,32770
7.6288,32766
7.6342,32766
7.6399,32764
7.6453,32763
7.651,32761
7.6564,32762
7.6621,32763
7.6675,32765
7.6732,32761
7.6788,32760
7.6842,32765
7.6899,32760
7.6953,32765
7.701,32764
7.7064,32761
7.7121,32763
7.7175,32765
7.7232,32763
7.7288,32763
7.7342,32767
7.7399,32767
7.7453,32769
7.751,32762
7.7564,32767
7.7621,32765
7.7675,32764
7.7732,32766
7.7786,32766
7.7843,32764
7.79,32764
7.7952,32767
7.8009,32764
7.8063,32765
7.812,32769
7.8177,32766
7.8231,32765
7.8288,32766
7.8342,32764
7.8399,32765
7.8453,32761
7.8509,32765
7.8566,32769
7.8619,32770
7.8676,32764
7.873,32765
7.8787,32763
7.8844,32764
7.8898,32763
7.8954,32761
7.9008,32766
7.9065,32764
7.9122,32764
7.9176,32762
7.9233,32764
7.9287,32765
7.9343,32762
7.9397,32769
7.9454,32768
7.951,32761
7.9564,32765
7.9621,32764
7.9675,32766
7.9732,32762
7.9786,32765
7.9843,32764
7.9899,32764
7.9953,32764
8.001,32765
8.0065,32765
8.0122,32761
8.0176,32766
8.0233,32763
8.0287,32767
8.0343,32763
8.0397,32764
8.0454,32765
8.0508,32761
8.0565,32766
8.0619,32762
8.0676,32765
8.073,32761
8.0787,32763
8.0844,32768
8.0898,32765
8.0955,32768
8.1009,32763
8.1066,32765
8.112,32768
8.1176,32766
8.1231,32763
8.1287,32763
8.1341,32764
8.1398,32765
8.1452,32762
8.1509,32766
8.1563,32766
8.162,32762
8.1677,32766
8.1731,32765
8.1788,32765
8.1842,32770
8.1899,32765
8.1953,32765
8.201,32765
8.2064,32764
8.2121,32766
8.2175,32764
8.2232,32766
8.2286,32764
8.2343,32763
8.2397,32767
8.2454,32765
8.2508,32763
8.2565,32764
8.2619,32763
8.2676,32765
8.273,32766
8.2787,32763
8.2844,32764
8.2898,32764
8.2955,32769
8.3009,32764
8.3066,32765
8.312,32765
8.3177,32769
8.3231,32766
8.3288,32763
8.3342,32766
8.3399,32764
8.3453,32764
8.351,32759
8.3564,32760
8.3621,32765
8.3676,32767
8.3732,32765
8.3787,32762
8.3844,32766
8.3898,32763
8.3955,32762
8.4009,32763
8.4066,32766
8.412,32766
8.4177,32761
8.4231,32763
8.4288,32763
8.4342,32761
8.4399,32763
8.4453,32765
8.451,32766
8.4564,32767
8.4621,32765
8.4675,32765
8.4732,32767
8.4786,32766
8.4843,32767
8.4897,32767
8.4954,32767
8.5011,32765
8.5065,32761
8.5119,32763
8.5176,32767
8.5231,32762
8.5287,32764
8.5344,32760
8.5398,32763
8.5455,32765
8.5509,32761
8.5566,32765
8.562,32763
8.5677,32762
8.5731,32765
8.5788,32763
8.5842,32764
8.5898,32763
8.5955,32765
8.6009,32767
8.6066,32765
8.612,32764
8.6177,32768
8.6231,32766
8.6288,32767
8.6342,32766
8.6399,32760
8.6453,32761
8.651,32764
8.6564,32762
8.6621,32762
8.6675,32760
8.6732,32761
8.6786,32762
8.6843,32764
8.6897,32760
8.6954,32761
8.7008,32760
8.7065,32767
8.7122,32765
8.7176,32767
8.7233,32762
8.7287,32765
8.7344,32767
8.7398,32764
8.7455,32765
8.7509,32764
8.7566,32761
8.762,32765
8.7677,32764
8.7731,32764
8.7788,32761
8.7842,32763
8.7899,32760
8.7953,32763
8.801,32763
8.8064,32761
8.8121,32766
8.8176,32763
8.8233,32764
8.8287,32757
8.8343,32766
8.8398,32762
8.8454,32765
8.8509,32762
8.8566,32766
8.862,32766
8.8677,32766
8.8731,32763
8.8788,32765
8.8842,32764
8.8899,32769
8.8956,32764
8.901,32765
8.9066,32764
8.9121,32758
8.9177,32766
8.9232,32766
8.9288,32760
8.9343,32767
8.9399,32764
8.9454,32764
8.9511,32766
8.9565,32764
8.9622,32766
8.9676,32766
8.9733,32766
8.9787,32766
8.9844,32766
8.9898,32767
8.9955,32765
9.0009,32763
9.0064,32766
9.012,32764
9.0175,32764
9.0231,32763
9.0288,32764
9.0342,32762
9.0399,32765
9.0453,32764
9.051,32763
9.0564,32762
9.0621,32765
9.0675,32766
9.0732,32768
9.0786,32766
9.0843,32767
9.0897,32766
9.0954,32768
9.1008,32765
9.1065,32762
9.1122,32765
9.1176,32766
9.1233,32764
9.1287,32762
9.1344,32766
9.1398,32764
9.1455,32767
9.1509,32765
9.1566,32764
9.162,32760
9.1677,32762
9.1731,32761
9.1788,32761
9.1842,32759
9.1899,32765
9.1953,32765
9.201,32764
9.2064,32765
9.2121,32763
9.2175,32763
9.2232,32768
9.2286,32765
9.2342,32768
9.2399,32766
9.2455,32763
9.2509,32764
9.2566,32763
9.262,32763
9.2676,32767
