Experiment: Feb_23_T2_chemo_expt vial 5, Tue Feb 23 14:55:02 2021
5.0555,36417
5.0609,36599
5.0665,36739
5.0719,36860
5.0776,36793
5.0833,36570
5.0886,36601
5.0943,36810
5.0996,36778
5.1053,36604
5.1109,36617
5.1166,36675
5.122,36569
5.1277,36637
5.1333,36658
5.1387,36823
5.1444,36731
5.1498,36770
5.1554,36631
5.161,36889
5.1664,36708
5.172,36658
5.1777,36820
5.1831,36682
5.1887,36703
5.1944,36747
5.1997,36782
5.2054,36656
5.2111,36917
5.2164,36784
5.2221,36521
5.2277,36814
5.2331,36930
5.2387,36715
5.2444,36745
5.2498,36586
5.2554,36498
5.2611,36985
5.2664,36963
5.2721,37198
5.2775,36954
5.2831,36593
5.2888,36863
5.2942,36576
5.2998,36802
5.3054,36713
5.3108,36622
5.3165,36381
5.3221,36660
5.3275,36581
5.3331,36775
5.3388,37082
5.3444,36941
5.3498,36749
5.3554,36692
5.3608,36540
5.3665,36687
5.3721,36642
5.3777,36804
5.3831,36527
5.3888,36533
5.3942,36548
5.3998,36679
5.4055,36772
5.411,36668
5.4166,36683
5.422,36449
5.4276,36538
5.433,36964
5.4386,36705
5.4443,36714
5.4499,36554
5.4553,36739
5.4609,36809
5.4666,36920
5.472,36640
5.4776,36801
5.483,36760
5.4887,36572
5.4943,36581
5.5,36624
5.5054,36586
5.511,36864
5.5164,36621
5.5221,36634
5.5277,36596
5.5331,36626
5.5387,36853
5.5444,36480
5.5497,36651
5.5554,36505
5.561,36440
5.5664,36636
5.5721,36739
5.5777,36683
5.5831,36669
5.5887,36831
5.5944,36788
5.5998,36715
5.6054,36641
5.6108,36732
5.6164,36541
5.6221,36775
5.6277,36525
5.6331,36966
5.6387,36831
5.6444,36575
5.6498,36833
5.6554,36685
5.6608,36811
5.6665,36461
5.6721,36791
5.6775,36432
5.6831,36743
5.6888,36794
5.6942,36768
5.6998,36689
5.7055,36651
5.7108,36586
5.7165,36667
5.7221,36801
5.7275,36769
5.7331,36641
5.7388,36680
5.7441,36650
5.7497,36769
5.7554,36689
5.7611,36631
5.7664,36805
5.7721,36730
5.7777,36659
5.7831,37056
5.7887,36617
5.7944,36763
5.7998,36643
5.8054,36681
5.811,36635
5.8164,36922
5.8221,36871
5.8275,36646
5.8331,36643
5.8388,36763
5.8442,36898
5.8499,36786
5.8553,36794
5.8609,36818
5.8666,36880
5.8719,36706
5.8776,36696
5.8831,36923
5.8887,36817
5.8944,36965
5.8998,37018
5.9054,36909
5.9109,36662
5.9166,37044
5.922,36932
5.9276,36807
5.933,36820
5.9386,36800
5.9443,36998
5.9499,36562
5.9553,36962
5.961,36710
5.9665,36954
5.9722,36896
5.9775,36742
5.9832,36662
5.9889,36805
5.9942,36698
5.9999,36916
6.0055,36738
6.0109,36885
6.0165,36635
6.0221,36492
6.0277,36705
6.0331,36906
6.0387,36711
6.0444,36653
6.0498,36798
6.0554,36847
6.0611,36663
6.0664,36953
6.0721,36728
6.0777,36873
6.0831,36739
6.0887,36988
6.0944,36511
6.0997,36727
6.1054,36814
6.1111,36687
6.1164,36890
6.1221,36782
6.1277,36674
6.1331,36824
6.1387,36576
6.1444,36546
6.1497,36843
6.1554,36919
6.161,36698
6.1666,36539
6.1721,36610
6.1774,36493
6.1831,36821
6.1887,36889
6.1944,36528
6.1998,36705
6.2054,36745
6.2111,36755
6.2165,36682
6.2221,36621
6.2277,36775
6.2331,36606
6.2387,36908
6.2444,36724
6.2498,36881
6.2554,36611
6.2611,36685
6.2664,36748
6.2721,37063
6.2775,36788
6.2832,36746
6.2888,36714
6.2942,36746
6.2998,36843
6.3053,36594
6.3109,36837
6.3166,36828
6.3222,36511
6.3276,36633
6.3333,36709
6.3386,36668
6.3443,36946
6.3499,36590
6.3553,36642
6.3609,36483
6.3666,36806
6.3719,36727
6.3776,36716
6.3832,36635
6.3889,36540
6.3942,36895
6.3999,36714
6.4053,36759
6.4109,36498
6.4166,36725
6.422,36460
6.4276,36591
6.4333,36512
6.4386,36819
6.4443,36528
6.4499,36451
6.4553,36452
6.4609,36564
6.4666,36812
6.4719,36771
6.4776,36945
6.4833,36728
6.4886,36670
6.4943,36761
6.5,36642
6.5053,36779
6.511,36893
6.5166,36837
6.522,36972
6.5277,36904
6.5333,36541
6.5387,36693
6.5443,36858
6.5499,36831
6.5553,36510
6.561,36675
6.5666,37033
6.572,36801
6.5776,36720
6.5833,36815
6.5887,36782
6.5944,36736
6.5997,36461
6.6054,37019
6.611,36573
6.6166,36713
6.622,36561
6.6277,36523
6.633,36675
6.6387,36774
6.6443,36917
6.6497,36654
6.6554,36767
6.6611,36823
6.6664,36767
6.6721,36762
6.6777,36920
6.6831,36866
6.6888,36772
6.6944,36578
6.6998,36593
6.7054,36457
6.7111,36686
6.7165,36740
6.7221,36933
6.7277,36846
6.7331,36556
6.7388,36803
6.7444,36652
6.7498,36860
6.7554,36842
6.7608,36844
6.7665,36982
6.7721,36873
6.7775,36971
6.7832,36772
6.7888,36768
6.7942,36620
6.7998,36667
6.8055,36821
6.8108,36857
6.8165,36950
6.8222,36834
6.8276,36693
6.8333,36443
6.8387,36936
6.8443,36957
6.8497,36994
6.8554,36533
6.861,36819
6.8664,36888
6.8721,36973
6.8777,36717
6.8831,36792
6.8888,36713
6.8944,36833
6.8998,36912
6.9055,36979
6.9109,37023
6.9165,36863
6.9222,36846
6.9275,36716
6.9332,37086
6.9386,36866
6.9443,36656
6.9499,36672
6.9556,36691
6.9609,36614
6.9666,36774
6.972,36891
6.9776,36835
6.983,36746
6.9887,36756
6.9943,36821
7.0,36650
7.0054,36909
7.011,36721
7.0164,36969
7.0221,36827
7.0277,36819
7.0331,37028
7.0388,36815
7.0444,36864
7.0498,37028
7.0555,36996
7.0611,36878
7.0665,36727
7.0722,36833
7.0775,36805
7.0832,36680
7.0888,36753
7.0942,36911
7.0999,36991
7.1053,36740
7.1109,36774
7.1166,36709
7.1219,36825
7.1276,36558
7.1333,36772
7.1387,36983
7.1444,36712
7.1498,37043
7.1554,36745
7.1608,36688
7.1665,36987
7.1721,36810
7.1771,36789
7.1818,36650
7.1865,36925
7.191,36620
7.1957,36562
7.2004,36779
7.2049,36783
7.2096,36999
7.2143,36793
7.2188,36687
7.2235,36723
7.2282,36699
7.2327,36932
7.2374,36939
7.2421,36955
7.247,37033
7.2526,36783
7.2583,36531
7.2636,36890
7.2693,36911
7.2749,37023
7.2803,36765
7.2859,36849
7.2916,36609
7.2969,37277
7.3026,36873
7.3082,36802
7.3136,36798
7.3193,36879
7.3249,37094
7.3303,36930
7.336,36866
7.3416,36976
7.347,36696
7.3526,36538
7.3583,36947
7.3689,36623
7.3731,36860
7.3748,36885
7.3804,36852
7.3858,36849
7.3914,36883
7.3971,36794
7.4027,37021
7.408,36845
7.4138,36969
7.4192,37035
7.4249,36824
7.4305,36708
7.436,36858
7.4414,36731
7.4471,36763
7.4524,36800
7.4581,37099
7.4636,36835
7.4691,36759
7.4743,36815
7.4847,36767
7.4882,36864
7.4904,37102
7.4959,36830
7.5011,36751
7.5065,36826
7.5177,36716
7.5225,36726
7.5242,36998
7.5281,36540
7.5336,36896
7.5388,36840
7.5444,36943
7.5501,36923
7.5555,36569
7.5611,36746
7.5667,36870
7.5721,36879
7.5778,37059
7.5832,36963
7.5889,36900
7.5945,36758
7.5999,36841
7.6056,36887
7.6109,37058
7.6166,36979
7.6222,36883
7.6278,36959
7.6332,36722
7.6388,36747
7.6445,36951
7.6499,36787
7.6556,36804
7.6609,37286
7.6665,37152
7.6721,37048
7.6778,36759
7.6832,36910
7.6888,36842
7.6943,36870
7.6999,37003
7.7056,36715
7.711,36696
7.7167,36808
7.7221,36817
7.7277,36550
7.7331,36722
7.7388,36846
7.7444,36775
7.7498,36988
7.7555,36910
7.7611,36826
7.7666,36791
7.7721,36822
7.7777,36875
7.7834,36881
7.7887,36943
7.7944,37050
7.8,36774
7.8054,36815
7.811,36645
7.8167,36972
7.822,36880
7.8277,36708
7.833,37006
7.8387,36897
7.8443,36791
7.85,36904
7.8553,36689
7.861,36880
7.8664,36753
7.8721,37048
7.8777,37025
7.8831,36878
7.8888,36922
7.8944,37122
7.8998,36651
7.9054,36804
7.9111,37141
7.9165,36782
7.9221,36850
7.9277,36991
7.9332,36543
7.9388,36735
7.9442,36756
7.9498,36857
7.9555,36968
7.9609,36942
7.9665,36714
7.9722,36826
7.9775,36504
7.9832,36685
7.9888,36732
7.9942,36571
7.9998,36751
8.0055,36653
8.0109,36658
8.0165,36867
8.0222,36599
8.0275,36855
8.0332,36829
8.0388,36857
8.0442,36815
8.0499,36885
8.0555,36716
8.0609,36867
8.0665,37007
8.0722,36734
8.0776,36904
8.0833,36598
8.0886,36859
8.0943,36700
8.0999,36979
8.1055,36899
8.111,36836
8.1166,36412
8.122,36733
8.1276,36612
8.1333,36797
8.1389,36703
8.1442,36756
8.1499,36587
8.1555,36616
8.1609,36808
8.1665,36804
8.1722,36617
8.1775,36743
8.1832,36740
8.1888,36573
8.1942,36677
8.1998,36873
8.2055,36982
8.2109,36632
8.2165,36667
8.2222,36740
8.2276,36837
8.2332,36766
8.2388,36679
8.2442,36607
8.2498,36748
8.2555,36729
8.2611,36927
8.2665,36671
8.2719,36637
8.2775,36780
8.2832,36694
8.2888,36612
8.2942,36701
8.2999,36613
8.3055,36866
8.3108,36658
8.3165,36757
8.3221,36561
8.3278,36815
8.3331,36682
8.3388,36730
8.3442,36619
8.3498,36757
8.3555,36522
8.3609,36698
8.3665,36503
8.3722,36653
8.3775,36907
8.3832,36871
8.3888,36988
8.3942,36827
8.3999,36623
8.4055,36854
8.4109,36777
8.4165,36538
8.4222,36661
8.4276,36728
8.4332,36686
8.4389,36612
8.4442,36471
8.4499,36789
8.4555,36853
8.461,36796
8.4665,36808
8.4721,36588
8.4778,36877
8.4831,36945
8.4888,36776
8.4942,36650
8.4998,36738
8.5054,36670
8.5111,36836
8.5164,36815
8.5221,36655
8.5277,36696
8.5331,36765
8.5387,36710
8.5444,36707
8.5497,36572
8.5554,36765
8.561,36714
8.5664,36584
8.572,36744
8.5777,36684
8.583,36803
8.5887,36703
8.5943,36676
8.6,36554
8.6054,36770
8.611,36761
8.6164,36613
8.6221,36848
8.6277,36758
8.6331,36693
8.6387,36595
8.6444,36735
8.6498,36657
